Tid	Kanal A
(s)	(V)

-0.16340000	0.25052290
-0.16330000	0.25978100
-0.16320000	0.26906990
-0.16310000	0.27835880
-0.16300000	0.28761690
-0.16290000	0.29690580
-0.16280000	0.30619460
-0.16270000	0.31545280
-0.16260000	0.31545280
-0.16250000	0.32474160
-0.16240000	0.33403050
-0.16230000	0.34328860
-0.16220000	0.34328860
-0.16210000	0.35257750
-0.16200000	0.35257750
-0.16190000	0.35257750
-0.16180000	0.36186640
-0.16170000	0.36186640
-0.16160000	0.36186640
-0.16150000	0.37112450
-0.16140000	0.37112450
-0.16130000	0.38041340
-0.16120000	0.38041340
-0.16110000	0.38041340
-0.16100000	0.38041340
-0.16090000	0.37112450
-0.16080000	0.37112450
-0.16070000	0.36186640
-0.16060000	0.35257750
-0.16050000	0.34328860
-0.16040000	0.33403050
-0.16030000	0.32474160
-0.16020000	0.30619460
-0.16010000	0.29690580
-0.16000000	0.28761690
-0.15990000	0.27835880
-0.15980000	0.26906990
-0.15970000	0.25978100
-0.15960000	0.25052290
-0.15950000	0.24123400
-0.15940000	0.24123400
-0.15930000	0.24123400
-0.15920000	0.23194510
-0.15910000	0.23194510
-0.15900000	0.23194510
-0.15890000	0.23194510
-0.15880000	0.24123400
-0.15870000	0.24123400
-0.15860000	0.24123400
-0.15850000	0.25052290
-0.15840000	0.25978100
-0.15830000	0.25978100
-0.15820000	0.26906990
-0.15810000	0.27835880
-0.15800000	0.28761690
-0.15790000	0.29690580
-0.15780000	0.30619460
-0.15770000	0.31545280
-0.15760000	0.31545280
-0.15750000	0.32474160
-0.15740000	0.32474160
-0.15730000	0.32474160
-0.15720000	0.32474160
-0.15710000	0.32474160
-0.15700000	0.32474160
-0.15690000	0.32474160
-0.15680000	0.32474160
-0.15670000	0.32474160
-0.15660000	0.33403050
-0.15650000	0.33403050
-0.15640000	0.33403050
-0.15630000	0.34328860
-0.15620000	0.34328860
-0.15610000	0.34328860
-0.15600000	0.35257750
-0.15590000	0.36186640
-0.15580000	0.36186640
-0.15570000	0.37112450
-0.15560000	0.37112450
-0.15550000	0.38041340
-0.15540000	0.38041340
-0.15530000	0.38041340
-0.15520000	0.38041340
-0.15510000	0.38041340
-0.15500000	0.38041340
-0.15490000	0.37112450
-0.15480000	0.36186640
-0.15470000	0.36186640
-0.15460000	0.35257750
-0.15450000	0.34328860
-0.15440000	0.33403050
-0.15430000	0.32474160
-0.15420000	0.31545280
-0.15410000	0.30619460
-0.15400000	0.28761690
-0.15390000	0.27835880
-0.15380000	0.26906990
-0.15370000	0.25978100
-0.15360000	0.25052290
-0.15350000	0.24123400
-0.15340000	0.23194510
-0.15330000	0.22268700
-0.15320000	0.22268700
-0.15310000	0.21339810
-0.15300000	0.21339810
-0.15290000	0.21339810
-0.15280000	0.21339810
-0.15270000	0.21339810
-0.15260000	0.21339810
-0.15250000	0.22268700
-0.15240000	0.22268700
-0.15230000	0.23194510
-0.15220000	0.24123400
-0.15210000	0.25052290
-0.15200000	0.25052290
-0.15190000	0.25978100
-0.15180000	0.26906990
-0.15170000	0.27835880
-0.15160000	0.28761690
-0.15150000	0.29690580
-0.15140000	0.31545280
-0.15130000	0.31545280
-0.15120000	0.33403050
-0.15110000	0.34328860
-0.15100000	0.36186640
-0.15090000	0.37112450
-0.15080000	0.38041340
