Settings,Mean-charge,Error
dc_qL_gL_b4_r4_e7000.tif,25257.50634954935,2.605998933676848e-10
dc_qL_gM_b1_r1_e7000.tif,2898900.1175510273,2.9187905974017697e-14
dc_qH_gH_b8_r4_e10000.tif,524.7553591387783,1.7005174299712667e-07
dc_qL_gM_b1_r0.1_e3000.tif,2022170.6598580314,4.184494678625454e-14
dc_qL_gM_b1_r0.1_e10000.tif,1549924.6516063756,5.601455327581044e-14
dc_qH_gH_b1_r1_e3000.tif,633809.9620803756,2.2236748965894544e-13
dc_qH_gM_b8_r1_e5000.tif,59750.666562549,2.094532658358827e-10
dc_qH_gH_b20_r4_e500.tif,162.85448744908786,5.617581626427163e-06
dc_qL_gL_b20_r4_e3000.tif,4035.273571986855,7.658624661306405e-08
dc_qL_gL_b8_r4_e10000.tif,5523.78012687028,7.1144032683378286e-09
dc_qL_gL_b8_r1_e500.tif,318590.8772786395,3.5006994633510095e-11
dc_qL_gH_b1_r0.1_e5000.tif,401534.1014318767,3.873666981668472e-13
dc_qL_gH_b1_r1_e3000.tif,441884.51591848495,3.6099888133828006e-13
dc_qL_gM_b1_r4_e7000.tif,62789.8467592126,5.0528381981623874e-12
dc_qH_gL_b20_r1_e7000.tif,18048.91541619671,8.860161880043292e-09
dc_qL_gM_b1_r4_e3000.tif,68653.34591774145,4.485345770202667e-12
dc_qL_gH_b4_r4_e5000.tif,1208.3052836952215,1.5061865607900382e-08
dc_qH_gL_b1_r0.1_e500.tif,56332416.2255554,5.534518185137356e-16
dc_qL_gL_b4_r1_e3000.tif,2045189.6883711652,6.979555525384674e-13
dc_qH_gH_b1_r0.1_e5000.tif,1780618.3926086274,5.534889448937596e-14
dc_qL_gL_b1_r4_e10000.tif,742815.2058254819,1.8482803061532326e-13
dc_qL_gH_b20_r1_e10000.tif,32.91347357361449,3.605041082437997e-05
dc_qH_gL_b20_r1_e500.tif,18361.816496241823,9.511548049475323e-09
dc_qL_gL_b20_r4_e500.tif,5042.35732976304,5.7944264752561904e-08
dc_qH_gH_b20_r0.1_e500.tif,995.9563119906888,3.7367292178404826e-07
dc_qL_gM_b1_r1_e3000.tif,2787423.0087380884,3.067609597982444e-14
dc_qH_gM_b1_r0.1_e500.tif,17226590.959204677,2.628624073039652e-15
dc_qL_gL_b8_r1_e3000.tif,234375.8334362565,4.350417487641291e-11
dc_qL_gH_b8_r1_e10000.tif,1303.0356480663968,3.2745252225115206e-08
dc_qL_gH_b8_r4_e500.tif,638.0031918983387,1.4825896777981333e-07
dc_qL_gL_b1_r4_e500.tif,944471.0510862048,1.3366374254983946e-13
dc_qH_gH_b4_r4_e5000.tif,1939.760262687874,8.140307523560403e-09
dc_qL_gH_b4_r0.1_e7000.tif,24007.152245651974,1.702942819572851e-10
dc_qH_gL_b4_r1_e5000.tif,3033960.1338028074,4.014588674097262e-13
dc_qL_gM_b8_r4_e7000.tif,2949.2773538432125,1.838692605699635e-08
dc_qL_gL_b20_r1_e500.tif,1599.3676556380206,2.447431641377319e-07
dc_qH_gL_b20_r0.1_e500.tif,57687.67410383136,1.6580777887808125e-09
dc_qL_gM_b20_r1_e10000.tif,111.94174863715648,8.18636828967698e-06
dc_qL_gH_b20_r4_e3000.tif,37.6079269930503,3.8434160783149874e-05
dc_qL_gM_b8_r1_e10000.tif,10588.94199641535,1.9282283496673005e-09
dc_qH_gM_b20_r1_e5000.tif,1313.239672655138,2.443085235352355e-07
dc_qL_gM_b20_r0.1_e3000.tif,34.58681466601237,3.3674468616231435e-05
dc_qL_gH_b4_r4_e3000.tif,1667.5452389714476,1.0276932171826839e-08
dc_qL_gM_b4_r0.1_e10000.tif,80231.06813651028,2.8685715344452584e-11
dc_qL_gM_b1_r1_e500.tif,2998432.277911077,2.7934930512934952e-14
dc_qL_gM_b8_r0.1_e500.tif,7043.537798377297,3.5466454716945376e-09
dc_qL_gM_b20_r1_e500.tif,113.04317910703008,8.731711124553301e-06
dc_qH_gM_b20_r4_e7000.tif,276.79628012728546,1.9012098630857051e-06
dc_qL_gM_b20_r4_e500.tif,240.81843562331971,3.2155343975067672e-06
dc_qH_gH_b1_r4_e10000.tif,9953.744515166229,5.790501441127643e-11
dc_qH_gL_b1_r0.1_e3000.tif,57887565.963404484,5.399950705104937e-16
dc_qL_gM_b4_r0.1_e7000.tif,159201.58227988688,1.4359844391170695e-11
dc_qL_gH_b4_r0.1_e3000.tif,17413.924750727652,1.2789090353828762e-10
dc_qH_gM_b1_r1_e500.tif,8004429.514067554,7.517481548914401e-15
dc_qH_gM_b8_r1_e7000.tif,54715.99859941619,2.453843483993017e-10
dc_qL_gL_b1_r1_e7000.tif,23094370.20794285,3.18271700466284e-15
dc_qH_gM_b8_r0.1_e5000.tif,216894.62799734293,3.741449916115068e-11
dc_qL_gH_b1_r4_e3000.tif,9360.155457557077,6.344135196344108e-11
dc_qH_gL_b1_r0.1_e10000.tif,51055320.283863254,6.365721079641216e-16
dc_qL_gH_b1_r1_e5000.tif,374597.5544589759,4.375140921074813e-13
dc_qH_gL_b4_r4_e7000.tif,105126.40657302279,3.907939648783338e-11
dc_qH_gH_b8_r0.1_e7000.tif,9811.706010664755,1.5155776817775181e-09
dc_qH_gH_b8_r1_e10000.tif,7949.843149174123,2.463687635826958e-09
dc_qL_gM_b4_r1_e3000.tif,188558.46762306296,1.4455243589816824e-11
dc_qH_gL_b20_r4_e7000.tif,4893.214457984141,5.0634119124156624e-08
dc_qH_gM_b20_r1_e7000.tif,1298.5209277679182,2.365498222266124e-07
dc_qL_gH_b20_r4_e7000.tif,20.06559739079599,5.9154405592761826e-05
dc_qH_gH_b8_r1_e5000.tif,15227.737056650465,1.8465428941222448e-09
dc_qL_gL_b1_r0.1_e3000.tif,13000231.291430917,3.63296900183022e-15
dc_qL_gL_b20_r1_e7000.tif,693.3222296524783,3.674469301556138e-07
dc_qH_gL_b20_r4_e5000.tif,7048.155759837042,3.348305448620897e-08
