Tid	Kanal A
(s)	(V)

-1.89368158	1.31754400
-1.89334824	1.31754400
-1.89301491	1.31754400
-1.89268157	1.31754400
-1.89234824	1.31754400
-1.89201490	1.31754400
-1.89168156	1.31754400
-1.89134823	1.31754400
-1.89101489	1.31754400
-1.89068156	1.31754400
-1.89034822	1.31754400
-1.89001488	1.31754400
-1.88968155	1.31754400
-1.88934821	1.31754400
-1.88901488	1.31754400
-1.88868154	1.31754400
-1.88834820	1.31754400
-1.88801487	1.31754400
-1.88768153	1.31754400
-1.88734820	1.31754400
-1.88701486	1.31754400
-1.88668152	1.31754400
-1.88634819	1.31754400
-1.88601485	1.31754400
-1.88568152	1.31754400
-1.88534818	1.31754400
-1.88501484	1.31754400
-1.88468151	1.31754400
-1.88434817	1.31754400
-1.88401484	1.31754400
-1.88368150	1.31754400
-1.88334816	1.31754400
-1.88301483	1.31754400
-1.88268149	1.29902800
-1.88234816	1.31754400
-1.88201482	1.31754400
-1.88168148	1.31754400
-1.88134815	1.31754400
-1.88101481	1.31754400
-1.88068148	1.31754400
-1.88034814	1.31754400
-1.88001480	1.31754400
-1.87968147	1.29902800
-1.87934813	1.29902800
-1.87901480	1.29902800
-1.87868146	1.29902800
-1.87834812	1.29902800
-1.87801479	1.29902800
-1.87768145	1.31754400
-1.87734812	1.29902800
-1.87701478	1.29902800
-1.87668144	1.29902800
-1.87634811	1.29902800
-1.87601477	1.29902800
-1.87568144	1.29902800
-1.87534810	1.29902800
-1.87501476	1.29902800
-1.87468143	1.29902800
-1.87434809	1.29902800
-1.87401476	1.29902800
-1.87368142	1.29902800
-1.87334809	1.29902800
-1.87301475	1.29902800
-1.87268141	1.29902800
-1.87234808	1.29902800
-1.87201474	1.28045000
-1.87168141	1.28045000
-1.87134807	1.28045000
-1.87101473	1.28045000
-1.87068140	1.28045000
-1.87034806	1.28045000
-1.87001473	1.28045000
-1.86968139	1.28045000
-1.86934805	1.28045000
-1.86901472	1.28045000
-1.86868138	1.28045000
-1.86834805	1.28045000
-1.86801471	1.28045000
-1.86768137	1.28045000
-1.86734804	1.28045000
-1.86701470	1.26187300
-1.86668137	1.26187300
-1.86634803	1.26187300
-1.86601469	1.26187300
-1.86568136	1.26187300
-1.86534802	1.26187300
-1.86501469	1.26187300
-1.86468135	1.26187300
-1.86434801	1.26187300
-1.86401468	1.26187300
-1.86368134	1.26187300
-1.86334801	1.26187300
-1.86301467	1.26187300
-1.86268133	1.24335600
-1.86234800	1.26187300
-1.86201466	1.26187300
-1.86168133	1.26187300
-1.86134799	1.24335600
-1.86101465	1.24335600
-1.86068132	1.24335600
-1.86034798	1.24335600
-1.86001465	1.24335600
-1.85968131	1.24335600
